case,arm,seed,t_sec,best
A funnel,B0+,42,4.017,31.0000
A funnel,B0+,42,4.054,31.0000
A funnel,B0+,42,4.096,31.0000
A funnel,B0+,42,4.135,31.0000
A funnel,B0+,42,4.173,31.0000
A funnel,B0+,42,4.210,31.0000
A funnel,B0+,42,4.251,31.0000
A funnel,B0+,42,4.292,31.0000
A funnel,B0+,42,4.333,31.0000
A funnel,B0+,42,4.372,31.0000
A funnel,B0+,42,4.414,31.0000
A funnel,B0+,42,4.458,31.0000
A funnel,B0+,42,4.498,31.0000
A funnel,B0+,42,4.538,31.0000
A funnel,B0+,42,4.576,31.0000
A funnel,B0+,42,4.621,31.0000
A funnel,B0+,42,4.664,31.0000
A funnel,B0+,42,4.704,31.0000
A funnel,B0+,42,4.745,31.0000
A funnel,B0+,42,4.791,31.0000
A funnel,B0+,42,4.831,31.0000
A funnel,B0+,42,4.873,31.0000
A funnel,B0+,42,4.912,31.0000
A funnel,B0+,42,4.955,31.0000
A funnel,B0+,42,4.992,31.0000
A funnel,B0+,42,5.030,31.0000
A funnel,B0+,42,5.068,31.0000
A funnel,B0+,42,5.107,31.0000
A funnel,B0+,42,5.148,31.0000
A funnel,B0+,42,5.187,31.0000
A funnel,B0+,42,5.227,31.0000
A funnel,B0+,42,5.262,31.0000
A funnel,B0+,42,5.305,31.0000
A funnel,B0+,42,5.345,31.0000
A funnel,B0+,42,5.384,31.0000
A funnel,B0+,42,5.424,31.0000
A funnel,B0+,42,5.463,31.0000
A funnel,B0+,42,5.501,31.0000
A funnel,B0+,42,5.538,31.0000
A funnel,B0+,42,5.577,31.0000
A funnel,B0+,42,5.622,31.0000
A funnel,B0+,42,5.662,31.0000
A funnel,B0+,42,5.706,31.0000
A funnel,B0+,42,5.750,31.0000
A funnel,B0+,42,5.790,31.0000
A funnel,B0+,42,5.833,31.0000
A funnel,B0+,42,5.871,31.0000
A funnel,B0+,42,5.911,31.0000
A funnel,B0+,42,5.949,31.0000
A funnel,B0+,42,5.990,31.0000
A funnel,B0+,42,6.029,31.0000
A funnel,B0+,42,6.065,31.0000
A funnel,B0+,42,6.102,31.0000
A funnel,B0+,42,6.143,31.0000
A funnel,B0+,42,6.183,31.0000
A funnel,B0+,42,6.223,31.0000
A funnel,B0+,42,6.264,31.0000
A funnel,B0+,42,6.306,31.0000
A funnel,B0+,42,6.343,31.0000
A funnel,B0+,42,6.379,31.0000
A funnel,B0+,42,6.416,31.0000
A funnel,B0+,42,6.454,31.0000
A funnel,B0+,42,6.494,31.0000
A funnel,B0+,42,6.530,31.0000
A funnel,B0+,42,6.567,31.0000
A funnel,B0+,42,6.606,31.0000
A funnel,B0+,42,6.649,31.0000
A funnel,B0+,42,6.688,31.0000
A funnel,B0+,42,6.728,31.0000
A funnel,B0+,42,6.769,31.0000
A funnel,B0+,42,6.815,31.0000
A funnel,B0+,42,6.853,31.0000
A funnel,B0+,42,6.892,31.0000
A funnel,B0+,42,6.932,31.0000
A funnel,B0+,42,6.976,31.0000
A funnel,B0+,42,7.016,31.0000
A funnel,B0+,42,7.060,31.0000
A funnel,B0+,42,7.101,31.0000
A funnel,B0+,42,7.142,31.0000
A funnel,B0+,42,7.185,31.0000
A funnel,B0+,42,7.224,31.0000
A funnel,B0+,42,7.266,31.0000
A funnel,B0+,42,7.305,31.0000
A funnel,B0+,42,7.350,31.0000
A funnel,B0+,42,7.391,31.0000
A funnel,B0+,42,7.432,31.0000
A funnel,B0+,42,7.475,31.0000
A funnel,B0+,42,7.522,31.0000
A funnel,B0+,42,7.560,31.0000
A funnel,B0+,42,7.600,31.0000
A funnel,B0+,42,7.638,31.0000
A funnel,B0+,42,7.678,31.0000
A funnel,B0+,42,7.722,31.0000
A funnel,B0+,42,7.764,31.0000
A funnel,B0+,42,7.802,31.0000
A funnel,B0+,42,7.840,31.0000
A funnel,B0+,42,7.884,31.0000
A funnel,B0+,42,7.922,31.0000
A funnel,B0+,42,7.964,31.0000
A funnel,B0+,42,8.005,31.0000
A funnel,B0+,42,8.050,31.0000
A funnel,B0+,42,8.091,31.0000
A funnel,B0+,42,8.130,31.0000
A funnel,B0+,42,8.171,31.0000
A funnel,B0+,42,8.216,31.0000
A funnel,B0+,42,8.259,31.0000
A funnel,B0+,42,8.299,31.0000
A funnel,B0+,42,8.342,31.0000
A funnel,B0+,42,8.383,31.0000
A funnel,B0+,42,8.424,31.0000
A funnel,B0+,42,8.464,31.0000
A funnel,B0+,42,8.500,31.0000
A funnel,B0+,42,8.540,31.0000
A funnel,B0+,42,8.583,31.0000
A funnel,B0+,42,8.625,31.0000
A funnel,B0+,42,8.666,31.0000
A funnel,B0+,42,8.707,31.0000
A funnel,B0+,42,8.757,31.0000
A funnel,B0+,42,8.800,31.0000
A funnel,B0+,42,8.841,31.0000
A funnel,B0+,42,8.882,31.0000
A funnel,B0+,42,8.928,31.0000
A funnel,B0+,42,8.969,31.0000
A funnel,B0+,42,9.008,31.0000
A funnel,B0+,42,9.050,31.0000
A funnel,B0+,42,9.094,31.0000
A funnel,B0+,42,9.137,31.0000
A funnel,B0+,42,9.176,31.0000
A funnel,B0+,42,9.216,31.0000
A funnel,B0+,42,9.257,31.0000
A funnel,B0+,42,9.299,31.0000
A funnel,B0+,42,9.343,31.0000
A funnel,B0+,42,9.384,31.0000
A funnel,B0+,42,9.427,31.0000
A funnel,B0+,42,9.475,31.0000
A funnel,B0+,42,9.520,31.0000
A funnel,B0+,42,9.559,31.0000
A funnel,B0+,42,9.604,31.0000
