instance,seed,arm,feasible,makespan,makespan_ref,wall_ms,res_frac,past_changed,past_total,release_size,alive_size,delta,esc_rounds,esc_wall_ms,k,jobs,machines,n_res,n_live,closure,closure_frac,n_nodes,n_corridors
S14x7x7,31415,R2,True,185.0,124.0,5.679,0.479,0,115,147,173,,,,7,14,7,288,173,147,0.85,14,15
S14x7x7,31415,RS,True,190.0,124.0,2.764,0.601,0,115,,173,66.0,,,7,14,7,288,173,147,0.85,14,15
S14x7x7,31415,RD,True,166.0,124.0,14.68,0.597,0,115,,173,,,,7,14,7,288,173,147,0.85,14,15
S14x7x7,8,R2,True,124.0,124.0,6.61,0.17,0,110,107,161,,,,7,14,7,271,161,107,0.665,14,15
S14x7x7,8,RS,True,184.0,124.0,4.384,0.594,0,110,,161,60.0,,,7,14,7,271,161,107,0.665,14,15
S14x7x7,8,RD,True,127.4,124.0,14.295,0.561,0,110,,161,,,,7,14,7,271,161,107,0.665,14,15
S16x8x8,42,R2,True,107.0,104.0,6.215,0.389,0,103,148,182,,,,8,16,8,285,182,148,0.813,15,16
S16x8x8,42,RS,True,167.0,104.0,2.951,0.639,0,103,,182,63.0,,,8,16,8,285,182,148,0.813,15,16
S16x8x8,42,RD,True,112.4,104.0,15.296,0.635,0,103,,182,,,,8,16,8,285,182,148,0.813,15,16
S16x8x8,7,R2,True,105.0,105.0,5.437,0.22,0,106,139,176,,,,8,16,8,282,176,139,0.79,15,16
S16x8x8,7,RS,True,170.0,105.0,2.565,0.624,0,106,,176,65.0,,,8,16,8,282,176,139,0.79,15,16
S16x8x8,7,RD,True,106.75,105.0,15.372,0.628,1,106,,176,,,,8,16,8,282,176,139,0.79,15,16
S16x8x8,2024,R2,True,102.0,101.0,5.792,0.454,0,104,166,178,,,,8,16,8,282,178,166,0.933,15,16
S16x8x8,2024,RS,True,166.0,101.0,2.607,0.631,0,104,,178,65.0,,,8,16,8,282,178,166,0.933,15,16
S16x8x8,2024,RD,True,113.0,101.0,20.731,0.635,0,104,,178,,,,8,16,8,282,178,166,0.933,15,16
S16x8x8,99,R2,True,115.0,111.0,5.94,0.267,0,127,121,165,,,,8,16,8,292,165,121,0.733,15,16
S16x8x8,99,RS,True,177.0,111.0,2.574,0.565,0,127,,165,66.0,,,8,16,8,292,165,121,0.733,15,16
S16x8x8,99,RD,True,112.85,111.0,15.977,0.572,3,127,,165,,,,8,16,8,292,165,121,0.733,15,16
S16x8x8,123,R2,True,111.4,104.0,6.488,0.572,0,101,179,196,,,,8,16,8,297,196,179,0.913,15,16
S16x8x8,123,RS,True,172.0,104.0,2.712,0.66,0,101,,196,68.0,,,8,16,8,297,196,179,0.913,15,16
S16x8x8,123,RD,True,106.4,104.0,17.487,0.667,1,101,,196,,,,8,16,8,297,196,179,0.913,15,16
S16x8x8,13,R2,True,105.0,104.0,6.898,0.312,0,108,140,177,,,,8,16,8,285,177,140,0.791,15,16
S16x8x8,13,RS,True,168.0,104.0,2.598,0.621,0,108,,177,64.0,,,8,16,8,285,177,140,0.791,15,16
S16x8x8,13,RD,True,111.4,104.0,15.29,0.621,0,108,,177,,,,8,16,8,285,177,140,0.791,15,16
S16x8x8,1,R2,True,116.0,116.0,7.035,0.178,0,110,160,187,,,,8,16,8,297,187,160,0.856,15,16
S16x8x8,1,RS,True,192.0,116.0,2.772,0.63,0,110,,187,76.0,,,8,16,8,297,187,160,0.856,15,16
S16x8x8,1,RD,True,114.6,116.0,16.028,0.63,0,110,,187,,,,8,16,8,297,187,160,0.856,15,16
S16x8x8,777,R2,True,120.0,120.0,7.419,0.355,0,125,165,174,,,,8,16,8,299,174,165,0.948,15,16
S16x8x8,777,RS,True,198.0,120.0,2.826,0.582,0,125,,174,78.0,,,8,16,8,299,174,165,0.948,15,16
S16x8x8,777,RD,True,112.0,120.0,17.593,0.582,0,125,,174,,,,8,16,8,299,174,165,0.948,15,16
