instance,seed,arm,budget,pop,max_gen,stall_gen,makespan,runtime_sec,generations,evaluations,stopped_by,valid,lower_bound
sfjs05-ideal,7,ideal,p100g200s30,100,200,30,123.0,0.279,30,3000,stall,True,106.5
sfjs05-ideal,8,ideal,p100g200s30,100,200,30,123.0,0.366,31,3100,stall,True,106.5
sfjs05-ideal,9,ideal,p100g200s30,100,200,30,123.0,0.285,31,3100,stall,True,106.5
sfjs05-ideal,10,ideal,p100g200s30,100,200,30,123.0,0.29,30,3000,stall,True,106.5
sfjs06-ideal,1,ideal,p100g200s30,100,200,30,324.0,0.331,31,3100,stall,True,312.0
sfjs06-ideal,2,ideal,p100g200s30,100,200,30,324.0,0.321,30,3000,stall,True,312.0
sfjs06-ideal,3,ideal,p100g200s30,100,200,30,324.0,0.419,33,3300,stall,True,312.0
sfjs06-ideal,4,ideal,p100g200s30,100,200,30,324.0,0.334,30,3000,stall,True,312.0
sfjs06-ideal,5,ideal,p100g200s30,100,200,30,324.0,0.322,31,3100,stall,True,312.0
sfjs06-ideal,6,ideal,p100g200s30,100,200,30,324.0,0.313,30,3000,stall,True,312.0
sfjs06-ideal,7,ideal,p100g200s30,100,200,30,324.0,0.318,31,3100,stall,True,312.0
sfjs06-ideal,8,ideal,p100g200s30,100,200,30,324.0,0.352,33,3300,stall,True,312.0
sfjs06-ideal,9,ideal,p100g200s30,100,200,30,324.0,0.322,30,3000,stall,True,312.0
sfjs06-ideal,10,ideal,p100g200s30,100,200,30,324.0,0.311,30,3000,stall,True,312.0
sfjs07-ideal,1,ideal,p100g200s30,100,200,30,409.0,0.41,31,3100,stall,True,400.0
sfjs07-ideal,2,ideal,p100g200s30,100,200,30,409.0,0.464,31,3100,stall,True,400.0
sfjs07-ideal,3,ideal,p100g200s30,100,200,30,409.0,0.424,30,3000,stall,True,400.0
sfjs07-ideal,4,ideal,p100g200s30,100,200,30,409.0,0.441,30,3000,stall,True,400.0
sfjs07-ideal,5,ideal,p100g200s30,100,200,30,409.0,0.416,31,3100,stall,True,400.0
sfjs07-ideal,6,ideal,p100g200s30,100,200,30,409.0,0.388,30,3000,stall,True,400.0
sfjs07-ideal,7,ideal,p100g200s30,100,200,30,409.0,0.378,30,3000,stall,True,400.0
sfjs07-ideal,8,ideal,p100g200s30,100,200,30,409.0,0.373,30,3000,stall,True,400.0
sfjs07-ideal,9,ideal,p100g200s30,100,200,30,409.0,0.403,31,3100,stall,True,400.0
sfjs07-ideal,10,ideal,p100g200s30,100,200,30,409.0,0.349,30,3000,stall,True,400.0
sfjs08-ideal,1,ideal,p100g200s30,100,200,30,269.0,0.415,31,3100,stall,True,222.0
sfjs08-ideal,2,ideal,p100g200s30,100,200,30,269.0,0.421,31,3100,stall,True,222.0
sfjs08-ideal,3,ideal,p100g200s30,100,200,30,269.0,0.417,33,3300,stall,True,222.0
sfjs08-ideal,4,ideal,p100g200s30,100,200,30,274.0,0.405,31,3100,stall,True,222.0
sfjs08-ideal,5,ideal,p100g200s30,100,200,30,269.0,0.389,31,3100,stall,True,222.0
sfjs08-ideal,6,ideal,p100g200s30,100,200,30,269.0,0.42,33,3300,stall,True,222.0
sfjs08-ideal,7,ideal,p100g200s30,100,200,30,269.0,0.399,31,3100,stall,True,222.0
sfjs08-ideal,8,ideal,p100g200s30,100,200,30,269.0,0.419,31,3100,stall,True,222.0
sfjs08-ideal,9,ideal,p100g200s30,100,200,30,269.0,0.405,31,3100,stall,True,222.0
sfjs08-ideal,10,ideal,p100g200s30,100,200,30,269.0,0.392,31,3100,stall,True,222.0
sfjs09-ideal,1,ideal,p100g200s30,100,200,30,220.0,0.522,36,3600,stall,True,212.0
sfjs09-ideal,2,ideal,p100g200s30,100,200,30,220.0,0.442,33,3300,stall,True,212.0
sfjs09-ideal,3,ideal,p100g200s30,100,200,30,236.0,0.394,34,3400,stall,True,212.0
sfjs09-ideal,4,ideal,p100g200s30,100,200,30,220.0,0.405,36,3600,stall,True,212.0
sfjs09-ideal,5,ideal,p100g200s30,100,200,30,220.0,0.363,32,3200,stall,True,212.0
sfjs09-ideal,6,ideal,p100g200s30,100,200,30,220.0,0.468,40,4000,stall,True,212.0
sfjs09-ideal,7,ideal,p100g200s30,100,200,30,220.0,0.429,38,3800,stall,True,212.0
sfjs09-ideal,8,ideal,p100g200s30,100,200,30,220.0,0.328,30,3000,stall,True,212.0
sfjs09-ideal,9,ideal,p100g200s30,100,200,30,224.0,0.319,31,3100,stall,True,212.0
sfjs09-ideal,10,ideal,p100g200s30,100,200,30,220.0,0.37,30,3000,stall,True,212.0
sfjs10-ideal,1,ideal,p100g200s30,100,200,30,531.0,0.525,31,3100,stall,True,430.0
sfjs10-ideal,2,ideal,p100g200s30,100,200,30,531.0,0.61,36,3600,stall,True,430.0
sfjs10-ideal,3,ideal,p100g200s30,100,200,30,531.0,0.605,37,3700,stall,True,430.0
sfjs10-ideal,4,ideal,p100g200s30,100,200,30,531.0,0.654,40,4000,stall,True,430.0
sfjs10-ideal,5,ideal,p100g200s30,100,200,30,531.0,0.523,33,3300,stall,True,430.0
sfjs10-ideal,6,ideal,p100g200s30,100,200,30,531.0,0.558,34,3400,stall,True,430.0
sfjs10-ideal,7,ideal,p100g200s30,100,200,30,531.0,0.591,36,3600,stall,True,430.0
sfjs10-ideal,8,ideal,p100g200s30,100,200,30,531.0,0.724,41,4100,stall,True,430.0
sfjs10-ideal,9,ideal,p100g200s30,100,200,30,531.0,0.538,31,3100,stall,True,430.0
sfjs10-ideal,10,ideal,p100g200s30,100,200,30,531.0,0.611,37,3700,stall,True,430.0
